0
0
[cadmium::celldevs::cell_ports_def<std::vector<int, std::allocator<int> >, cadmium::celldevs::example::cyclic::cyclicState>::cell_out: {(19,19) ; <1>}] generated by model cyclic_(19,19)
[cadmium::celldevs::cell_ports_def<std::vector<int, std::allocator<int> >, cadmium::celldevs::example::cyclic::cyclicState>::cell_out: {(17,19) ; <0>}] generated by model cyclic_(17,19)
[cadmium::celldevs::cell_ports_def<std::vector<int, std::allocator<int> >, cadmium::celldevs::example::cyclic::cyclicState>::cell_out: {(14,19) ; <0>}] generated by model cyclic_(14,19)
[cadmium::celldevs::cell_ports_def<std::vector<int, std::allocator<int> >, cadmium::celldevs::example::cyclic::cyclicState>::cell_out: {(13,19) ; <0>}] generated by model cyclic_(13,19)
[cadmium::celldevs::cell_ports_def<std::vector<int, std::allocator<int> >, cadmium::celldevs::example::cyclic::cyclicState>::cell_out: {(12,19) ; <0>}] generated by model cyclic_(12,19)
[cadmium::celldevs::cell_ports_def<std::vector<int, std::allocator<int> >, cadmium::celldevs::example::cyclic::cyclicState>::cell_out: {(10,19) ; <0>}] generated by model cyclic_(10,19)
[cadmium::celldevs::cell_ports_def<std::vector<int, std::allocator<int> >, cadmium::celldevs::example::cyclic::cyclicState>::cell_out: {(6,19) ; <0>}] generated by model cyclic_(6,19)
[cadmium::celldevs::cell_ports_def<std::vector<int, std::allocator<int> >, cadmium::celldevs::example::cyclic::cyclicState>::cell_out: {(4,19) ; <0>}] generated by model cyclic_(4,19)
[cadmium::celldevs::cell_ports_def<std::vector<int, std::allocator<int> >, cadmium::celldevs::example::cyclic::cyclicState>::cell_out: {(3,19) ; <0>}] generated by model cyclic_(3,19)
[cadmium::celldevs::cell_ports_def<std::vector<int, std::allocator<int> >, cadmium::celldevs::example::cyclic::cyclicState>::cell_out: {(2,19) ; <0>}] generated by model cyclic_(2,19)
[cadmium::celldevs::cell_ports_def<std::vector<int, std::allocator<int> >, cadmium::celldevs::example::cyclic::cyclicState>::cell_out: {(1,19) ; <0>}] generated by model cyclic_(1,19)
[cadmium::celldevs::cell_ports_def<std::vector<int, std::allocator<int> >, cadmium::celldevs::example::cyclic::cyclicState>::cell_out: {(0,19) ; <0>}] generated by model cyclic_(0,19)
[cadmium::celldevs::cell_ports_def<std::vector<int, std::allocator<int> >, cadmium::celldevs::example::cyclic::cyclicState>::cell_out: {(14,18) ; <0>}] generated by model cyclic_(14,18)
[cadmium::celldevs::cell_ports_def<std::vector<int, std::allocator<int> >, cadmium::celldevs::example::cyclic::cyclicState>::cell_out: {(13,18) ; <0>}] generated by model cyclic_(13,18)
[cadmium::celldevs::cell_ports_def<std::vector<int, std::allocator<int> >, cadmium::celldevs::example::cyclic::cyclicState>::cell_out: {(12,18) ; <0>}] generated by model cyclic_(12,18)
[cadmium::celldevs::cell_ports_def<std::vector<int, std::allocator<int> >, cadmium::celldevs::example::cyclic::cyclicState>::cell_out: {(10,18) ; <0>}] generated by model cyclic_(10,18)
[cadmium::celldevs::cell_ports_def<std::vector<int, std::allocator<int> >, cadmium::celldevs::example::cyclic::cyclicState>::cell_out: {(9,18) ; <0>}] generated by model cyclic_(9,18)
